Time,SPY,AGG,VWO,EFA,BNDX,GLD
07-Jan-2018,264.940185546875,101.292549133301,45.3351745605469,68.0522613525391,50.5590362548828,126.959999084473
14-Jan-2018,267.313842773438,100.77091217041,46.2517852783203,68.6355590820312,50.5683670043945,126.419998168945
21-Jan-2018,273.195648193359,100.947906494141,47.6828384399414,69.6725540161133,50.5590362548828,128.070007324219
28-Jan-2018,262.585510253906,100.082084655762,45.1387519836426,67.1726760864258,50.3247528076172,126.389999389648
04-Feb-2018,249.287033081055,99.6713104248047,42.6882057189941,63.5061798095703,50.4181442260742,124.769996643066
11-Feb-2018,260.354766845703,99.7086639404297,45.1761665344238,66.1264266967773,50.4554786682129,127.959999084473
18-Feb-2018,261.880035400391,99.549934387207,45.5035247802734,66.0523452758789,50.5208587646484,126.139999389648
25-Feb-2018,256.513031005859,99.6104507446289,44.2221298217773,64.274658203125,50.5890464782715,125.389999389648
04-Mar-2018,265.845794677734,99.5262603759766,45.2977600097656,65.5338668823242,50.6544723510742,125.540000915527
11-Mar-2018,262.440795898438,99.8350219726562,44.7552642822266,65.2468414306641,50.8694229125977,124.599998474121
18-Mar-2018,246.9833984375,99.7508163452148,42.9033241271973,62.9043579101562,50.9909133911133,127.610000610352
25-Mar-2018,251.864669799805,100.349639892578,44.0269584655762,64.5153884887695,51.149787902832,125.790000915527
01-Apr-2018,248.581741333008,100.258712768555,43.2585029602051,64.2561569213867,51.151668548584,126.389999389648
08-Apr-2018,253.778854370117,100.15552520752,43.614616394043,65.5431213378906,51.123607635498,127.449996948242
15-Apr-2018,255.17626953125,99.4053039550781,43.2397575378418,65.7838516235352,51.0019874572754,126.629997253418
22-Apr-2018,255.128433227539,99.3865356445312,43.0991897583008,65.7097778320312,51.0768241882324,125.5
29-Apr-2018,254.611557006836,99.4992904663086,42.3588447570801,65.6727523803711,51.1264457702637,124.540000915527
06-May-2018,261.148681640625,99.4992904663086,43.2116470336914,66.4504852294922,51.0702743530273,125
13-May-2018,259.693817138672,98.9729309082031,42.1245613098145,66.0430908203125,50.8736763000488,122.410003662109
20-May-2018,260.478698730469,99.7436676025391,42.3307304382324,65.0153732299805,50.9953804016113,123.209999084473
27-May-2018,261.866485595703,99.9398193359375,42.2744979858398,64.8116760253906,50.9457511901855,122.48999786377
03-Jun-2018,266.259674072266,99.6288986206055,42.2651290893555,65.191291809082,50.7021293640137,123.01000213623
10-Jun-2018,266.436218261719,99.7513732910156,41.4216995239258,64.8116760253906,51.0769348144531,121.339996337891
17-Jun-2018,264.138427734375,99.8078994750977,40.3601455688477,64.0220184326172,51.2924499511719,120.339996337891
24-Jun-2018,260.811950683594,100.165924072266,39.8036460876465,63.2382659912109,51.2643356323242,118.650001525879
01-Jul-2018,264.792144775391,100.476531982422,39.8508071899414,63.8142700195312,51.3937644958496,118.860000610352
08-Jul-2018,268.801239013672,100.561508178711,40.369571685791,64.012565612793,51.4969100952148,117.610000610352
15-Jul-2018,268.887786865234,100.334922790527,40.4733238220215,64.276969909668,51.4781723022461,116.559997558594
22-Jul-2018,270.560638427734,100.155540466309,41.2561988830566,64.9662933349609,51.3093528747559,115.830001831055
29-Jul-2018,272.656494140625,100.289024353027,40.8600425720215,64.3241806030273,51.2248458862305,114.919998168945
05-Aug-2018,272.233520507812,100.535079956055,39.9545593261719,63.0210762023926,51.3750381469727,114.690002441406
12-Aug-2018,274.060150146484,100.752731323242,38.9924812316895,62.6811332702637,51.3938179016113,112.129997253418
19-Aug-2018,276.415618896484,101.008262634277,39.7847785949707,63.5687599182129,51.3844261169434,114.160003662109
26-Aug-2018,279.107543945312,100.705429077148,39.6527290344238,63.5876426696777,51.3656463623047,113.51000213623
02-Sep-2018,276.502166748047,100.356391906738,38.1624488830566,61.7840766906738,51.3947792053223,113.230003356934
09-Sep-2018,279.655578613281,100.223594665527,38.4265518188477,63.0399703979492,51.3196144104004,113.019996643066
16-Sep-2018,281.993530273438,100.024429321289,39.4263572692871,64.8057556152344,51.3008232116699,113.48999786377
23-Sep-2018,280.766967773438,100.081314086914,39.1190948486328,64.2014236450195,51.244441986084,112.76000213623
30-Sep-2018,277.966278076172,99.189567565918,37.420768737793,62.70947265625,50.9058876037598,113.800003051758
07-Oct-2018,266.502685546875,99.5888595581055,36.9436988830566,60.2921142578125,51.0093421936035,115.230003356934
14-Oct-2018,266.792419433594,99.2276000976562,36.342601776123,60.1882514953613,51.1598129272461,116.01000213623
21-Oct-2018,256.246246337891,99.7314910888672,35.6937980651855,58.006965637207,51.4325370788574,116.769996643066
28-Oct-2018,262.581726074219,99.3918533325195,37.5543441772461,59.8199768066406,51.2764205932617,116.650001525879
04-Nov-2018,268.250732421875,99.4969329833984,36.6860885620117,59.876636505127,51.3140678405762,114.480003356934
11-Nov-2018,264.358673095703,99.9937438964844,37.7737846374512,59.4517097473145,51.3328895568848,115.620002746582
18-Nov-2018,254.237457275391,99.9841995239258,36.8196678161621,58.3374633789062,51.4458694458008,115.769996643066
25-Nov-2018,266.212921142578,100.203964233398,37.8692016601562,59.2723007202148,51.5494079589844,115.540000915527
02-Dec-2018,254.546508789062,101.018943786621,36.8482856750488,57.3648567199707,51.8057136535645,118.089996337891
09-Dec-2018,251.552627563477,101.09553527832,36.9341583251953,57.0910148620605,51.8622512817383,117.059997558594
16-Dec-2018,233.816955566406,101.517440795898,36.1326942443848,54.9369697570801,51.9093627929688,118.720001220703
23-Dec-2018,240.665374755859,101.930099487305,36.6697235107422,56.0154724121094,52.0670280456543,121.059997558594
