rank	title	composer	category	year	stars
100	Requiem in D Minor, Op. 48	Gabriel Fauré	Mass / Requiem	1890	351
101	Orchestral suites, BWV 1066-1069	Johann Sebastian Bach	Unsorted Orchestral		348
102	Cello Concerto in B Minor, 104, B. 191	Antonín Dvořák	Cello Concerto	1895	347
103	Violin Sonata No. 18 in G Major, 301/293a	Wolfgang Amadeus Mozart	Violin Sonata	1778	342
104	Passacaglia and Fugue in C Minor, BWV 582	Johann Sebastian Bach	Organ	1713	341
105	4 Impromptus, D. 899	Franz Schubert	Piano Sonata	1827	335
106	Piano Concerto No. 2 in F Major, Op. 102	Dmitri Shostakovich	Piano Concerto	1957	329
107	Aida	Giuseppe Verdi	Opera	1871	319
108	Symphony No. 9 in C Major (The Great C major), D. 944	Franz Schubert	Symphony	1828	317
109	Préludes, L. 117 & L.123	Claude Debussy	Piano Sonata	1913	316
110	String Quintet in C Major (Cello Quintet), posth. 163	Franz Schubert	String Quintet	1828	315
111	Piano Quintet in A Major (Trout Quintet), D. 667	Franz Schubert	Piano Quintet	1819	313
112	Piano Quintet in F Minor, Op. 34	Johannes Brahms	Piano Quintet	1864	310
113	String Quartet No. 15 in A Minor, Op. 132	Ludwig van Beethoven	String Quartet	1825	306
114	Piano Concerto, Op. 16	Edvard Grieg	Piano Concerto	1868	303
115	Fantasia on a Theme by Thomas Tallis	Ralph Vaughan Williams	Unsorted Orchestral	1910	302
116	Enigma Variations, Op. 36	Edward Elgar	Unsorted Orchestral	1899	302
117	Madama Butterfly	Giacomo Puccini	Opera	1904	300
118	String Quartet No. 19 in C Major (Dissonance), K. 465	Wolfgang Amadeus Mozart	String Quartet	1785	292
119	Cello Concerto No. 1 in C Major, VIIb/1	Joseph Haydn	Cello Concerto	1765	291
120	Serenade for Strings in E Major, Op. 22	Antonín Dvořák	Unsorted Orchestral	1875	289
121	Ave verum corpus in D Major, K. 618	Wolfgang Amadeus Mozart	Choral orchestral	1791	285
122	Symphony No. 2 in D Minor, Op. 73	Johannes Brahms	Symphony	1877	283
123	Clarinet Quintet in B Minor, Op. 115	Johannes Brahms	Clarinet Quintet	1891	283
124	Symphony No. 5 in E-flat Major, Op. 82	Jean Sibelius	Symphony	1919	279
125	Symphony No. 4 in A Major (Italian), Op. 90	Felix Mendelssohn	Symphony	1833	277
126	Magnificat in D Major, BWV 243	Johann Sebastian Bach	Choral orchestral	1731	277
127	Gaspard de la nuit	Maurice Ravel	Piano Sonata	1908	275
128	Sonata in B Minor, S. 178	Franz Liszt	Piano Sonata	1853	274
129	Ave Maria ... Virgo Serena	Josquin des Prez	Chant		271
130	Violin Sonata No. 3 in D Minor, Op. 108	Johannes Brahms	Violin Sonata	1888	263
131	Daphnis et Chloé	Maurice Ravel	Ballet	1912	261
132	String Quartet in F Major	Maurice Ravel	String Quartet	1903	260
133	Harpsichord conceto No. 3 in D Major, BWV 1054	Johann Sebastian Bach	Harpsichord conceto	1738	256
134	String Quartet No. 12 in F Major (American), Op. 96	Antonín Dvořák	String Quartet	1893	256
135	Parsifal, WWV 111	Richard Wagner	Opera	1882	248
136	Verklärte Nacht (Transfigured Night), Op. 4	Arnold Schoenberg	Sextet	1899	244
137	String Quartet No. 2 in D Major	Alexander Borodin	String Quartet	1881	243
138	Symphony No. 4 in E-flat Major (Romantic), WAB 104	Anton Bruckner	Symphony	1874	240
139	Die Meistersinger von Nürnberg, WWV 96	Richard Wagner	Opera	1867	238
140	Symphony No. 8 in C Minor (The Apocalyptic), WAB 108	Anton Bruckner	Symphony	1892	238
141	Concerto for Orchestra, 116, BB 123	Béla Bartók	Unsorted Orchestral	1943	235
142	Piano Quintet No. 2 in A Major, Op. 81, B. 155	Antonín Dvořák	Piano Quintet	1887	233
143	An Alpine Symphony, Op. 64	Richard Strauss	Unsorted Orchestral	1915	232
144	Otello	Giuseppe Verdi	Opera	1885	229
145	Piano Trio No. 1 in D Minor, Op. 49	Felix Mendelssohn	Piano Trio	1839	228
146	Piano Quintet in E-flat Major, Op. 44	Robert Schumann	Piano Quintet	1842	222
147	Clarinet Trio in A Minor, Op. 114	Johannes Brahms	Piano Trio	1891	222
148	Miserere	Gregorio Allegri	Chant		219
149	Requiem, Op. 9	Maurice Duruflé	Mass / Requiem	1947	211
150	All-Night Vigil (Vespers), Op. 37	Sergei Rachmaninoff	Chant	1915	208
151	Danse macabre, Op. 40	Camille Saint-Saëns	Symphonic Poem	1874	103
152	Quatuor pour la fin du temps (Quartet for the End of Time)	Olivier Messiaen	Piano Quartet	1941	84
153	Coronation Anthems, HWV 258-261	George Frideric Handel	Choral orchestral	1727	81
154	14 Romances, Op. 34	Sergei Rachmaninoff	Lieder / Song	1915	80
155	String Quintet No. 1 in F Major, Op. 88	Johannes Brahms	String Quintet	1882	78
156	Appalachian Spring	Aaron Copland	Unsorted Orchestral	1944	75
157	Fantaisie-Impromptu, Op. posth. 66	Frédéric Chopin	Piano Sonata	1834	75
158	String Quartet No. 4, Sz. 91	Béla Bartók	String Quartet	1928	72
159	Messe de Nostre Dame	Guillaume de Machaut	Mass / Requiem		72
160	L'Orfeo, SV 318	Claudio Monteverdi	Opera	1607	70
161	Spem in Alium	Thomas Tallis	Chant	1570	70
162	Piano Sonata No. 8 in C Minor (Sonata Pathétique), Op. 13	Ludwig van Beethoven	Piano Sonata	1798	70
163	Ballade No. 1, Op. 23	Frédéric Chopin	Piano Sonata	1831	68
164	Liebesträume (Dreams of Love), S. 541	Franz Liszt	Piano Sonata	1850	66
165	String Quartet in A Minor, Op. 51 No. 2	Johannes Brahms	String Quartet	1869	65
166	Canticum Canticorum	Giovanni Pierluigi da Palestrina	Chant	1584	64
167	Wachet auf, ruft uns die Stimme, BWV 140	Johann Sebastian Bach	Choral orchestral	1731	61
168	Gnossiennes	Erik Satie	Piano Sonata	1897	61
169	Pelléas et Mélisande, L. 88	Claude Debussy	Opera	1898	58
170	Piano Concerto No. 3 in D Minor, Op. 30	Sergei Rachmaninoff	Piano Concerto	1909	55
171	Deux arabesques, L. 66	Claude Debussy	Piano Sonata	1891	55
172	Suite bergamasque, L. 75	Claude Debussy	Piano Sonata	1905	54
173	Sextet No. 1 in B-flat Major, Op. 18	Johannes Brahms	Sextet	1860	51
174	24 Caprices for Solo Violin, Op. 1	Niccolò Paganini	String solo	1817	51
175	Rêverie, L. 68	Claude Debussy	Piano Sonata	1890	46
176	Wozzeck	Alban Berg	Opera	1922	44
177	Romeo and Juliet	Pyotr Ilyich Tchaikovsky	Symphonic Poem	1869	44
178	Night on Bald Mountain	Modest Mussorgsky	Symphonic Poem	1867	44
179	Waltzes	Frédéric Chopin	Piano Sonata	1849	43
180	Má vlast, JB 1:112	Bedřich Smetana	Unsorted Orchestral	1879	42
181	Die Fledermaus	Johann Strauss II	Opera	1874	42
182	The Sleeping Beauty, Op. 66	Pyotr Ilyich Tchaikovsky	Ballet	1889	41
183	Symphony No. 1 in D Major (Titan)	Gustav Mahler	Symphony	1888	41
184	Egmont, Op. 84	Ludwig van Beethoven	Unsorted Orchestral	1810	40
185	Radetzky March, Op. 228	Johann Strauss I	Unsorted Orchestral	1848	40
186	Symphony No. 8 in B Minor (Unfinished Symphony), D. 759	Franz Schubert	Symphony	1822	38
187	Symphony No. 5 in E Minor, Op. 64	Pyotr Ilyich Tchaikovsky	Symphony	1888	38
188	Introduction and Rondo Capriccioso, Op. 28	Camille Saint-Saëns	Violin Concerto	1863	37
189	Finlandia, Op. 26	Jean Sibelius	Unsorted Orchestral	1900	36
190	Requiem	Giuseppe Verdi	Mass / Requiem	1874	36
191	Polonaise in A-flat Major (Heroic), Op. 53	Frédéric Chopin	Piano Sonata	1842	36
192	Symphony No. 7 in C Major (Leningrad), Op. 60	Dmitri Shostakovich	Symphony	1940	35
193	Leçons de ténèbres	François Couperin	Choral orchestral	1714	34
194	Adagio in G Minor	Tomaso Albinoni	Unsorted Orchestral		34
195	Isle of the Dead, Op. 29	Sergei Rachmaninoff	Symphonic Poem	1908	33
196	Orpheus in the Underworld (Orphée aux enfers)	Jacques Offenbach	Opera	1858	33
197	Piano Sonata No. 2 in B-flat Minor (The Funeral March), Op. 35	Frédéric Chopin	Piano Sonata	1839	33
198	Rhapsody on a Theme of Paganini, Op. 43	Sergei Rachmaninoff	Unsorted Orchestral	1934	32
199	Clarinet Concerto in A Major, K. 622	Wolfgang Amadeus Mozart	Wind Concerto	1791	32
200	La Stravaganza, Op. 4	Antonio Vivaldi	Violin Concerto	1713	32
201	Symphony No. 3	Gustav Mahler	Symphony	1896	32
202	Mandolin Concerto in C Major, RV 425	Antonio Vivaldi	Unsorted Orchestral	1725	31
203	Pavane in F-sharp Minor, Op. 50	Gabriel Fauré	Unsorted Orchestral	1887	31
204	William Tell (Guglielmo Tell)	Gioachino Rossini	Opera	1829	31
205	Concierto de Aranjuez	Joaquín Rodrigo	Unsorted Orchestral	1939	29
206	Emperor Waltz, Op. 437	Johann Strauss II	Unsorted Orchestral	1889	29
207	Symphony No. 6 (Tragic)	Gustav Mahler	Symphony	1904	29
208	Piano Concerto No. 1 in E Minor, Op. 11	Frédéric Chopin	Piano Concerto	1830	29
209	Serenade for Strings in C Major, Op. 48	Pyotr Ilyich Tchaikovsky	Unsorted Orchestral	1880	28
210	Cello Concerto No. 1 in E-flat Major, Op. 107	Dmitri Shostakovich	Cello Concerto	1959	27
211	Symphony No. 8 in G Major, Op. 88, B. 163	Antonín Dvořák	Symphony	1889	26
212	Symphony No. 4 in F Minor, Op. 36	Pyotr Ilyich Tchaikovsky	Symphony	1878	26
213	The Lark Ascending	Ralph Vaughan Williams	Violin Concerto	1914	25
214	Symphony No. 3 (Symphony of Sorrowful Songs), Op. 36	Henryk Górecki	Symphony	1976	25
215	Ave Maria (Ellens Gesang III), D. 839	Franz Schubert	Lieder / Song	1825	25
216	Violin Sonata in G Minor (Devil's Trill Sonata), Bg 5	Giuseppe Tartini	String solo	1713	25
217	Sonatas and Partitas for Solo Violin, BWV 1001–1006	Johann Sebastian Bach	String solo	1720	25
218	Symphony No. 2 in D Major, Op. 43	Jean Sibelius	Symphony	1902	25
219	Symphony No. 8 in F Major, Op. 93	Ludwig van Beethoven	Symphony	1812	25
220	Piano Sonata No. 21 in C Major (Waldstein), Op. 53	Ludwig van Beethoven	Piano Sonata	1804	25
221	Piano Sonata No. 16 in C Major (Sonata facile), K. 545	Wolfgang Amadeus Mozart	Piano Sonata	1788	25
222	Piano Concerto No. 4 in G Major, Op. 58	Ludwig van Beethoven	Piano Concerto	1806	24
223	Piano Sonata No. 29 in B-flat Major (Hammerklavier), Op. 106	Ludwig van Beethoven	Piano Sonata	1818	24
224	Symphony No. 3 in A Minor (Scottish), Op. 56	Felix Mendelssohn	Symphony	1842	24
225	Mephisto Waltz No. 1, S. 514	Franz Liszt	Piano Sonata	1861	24
226	The Tales of Hoffmann (Les contes d'Hoffmann)	Jacques Offenbach	Opera	1880	23
227	Dixit Dominus, HWV 232	George Frideric Handel	Choral orchestral	1707	23
228	Erlkönig, D. 328	Franz Schubert	Lieder / Song	1815	23
229	Symphony No. 10 in E Minor, Op. 93	Dmitri Shostakovich	Symphony	1953	22
230	Fratres	Arvo Pärt	Violin Sonata	1977	22
231	Marche Slave (Slavonic March), Op. 31	Pyotr Ilyich Tchaikovsky	Unsorted Orchestral	1876	22
232	Scherzi	Frédéric Chopin	Piano Sonata	1842	22
233	Suite for Jazz Orchestra No. 2	Dmitri Shostakovich	Unsorted Orchestral	1938	22
234	Symphony No. 3 in C Minor (Organ Symphony), Op. 78	Camille Saint-Saëns	Symphony	1886	22
235	Symphony No. 3 in F Major, Op. 90	Johannes Brahms	Symphony	1883	21
236	Symphony No. 94 in G Major (Surprise Symphony), H. 1/94	Joseph Haydn	Symphony	1791	21
237	Zigeunerweisen, Op. 20	Pablo de Sarasate	Violin Concerto	1878	21
238	Transcendental Études (Études d'exécution transcendante), S. 139	Franz Liszt	Piano Sonata	1852	21
239	Symphony No. 4 (The Poem of Ecstasy), Op. 54	Alexander Scriabin	Symphony	1908	21
240	Gloria, RV 589	Antonio Vivaldi	Choral orchestral		20
241	Piano Concerto No. 3 in C Major, Op. 26	Sergei Prokofiev	Piano Concerto	1921	20
242	Piano Concerto No. 3 in C Minor, Op. 37	Ludwig van Beethoven	Piano Concerto	1800	20
243	Symphony No. 38 in D Major (Prague Symphony), K. 504	Wolfgang Amadeus Mozart	Symphony	1786	20
244	Lute Concerto in D Major, RV 93	Antonio Vivaldi	Unsorted Orchestral		20
245	Piano Sonata No. 5, Op. 53	Alexander Scriabin	Piano Sonata	1907	20
246	Valse Triste, Op. 44 No. 1	Jean Sibelius	Unsorted Orchestral	1903	20
247	Petrushka	Igor Stravinsky	Ballet	1911	19
248	An American in Paris	George Gershwin	Symphonic Poem	1928	19
249	Piano Concerto in A Minor, Op. 54	Robert Schumann	Piano Concerto	1845	19
250	Stabat Mater	Giovanni Battista Pergolesi	Choral orchestral	1736	19
251	Pomp and Circumstance Marches, Op. 39	Edward Elgar	Unsorted Orchestral	1907	19
252	Humoresques, Op. 101 (B. 187)	Antonín Dvořák	Piano Sonata	1894	19
253	Capricho árabe	Francisco Tárrega	Unsorted Instrument Sonatas	1892	19
254	Piano Concerto No. 2 in F Minor, Op. 21	Frédéric Chopin	Piano Concerto	1830	18
255	Missa solemnis in D Major, Op. 123	Ludwig van Beethoven	Mass / Requiem	1823	18
256	Music for the Royal Fireworks, HWV 351	George Frideric Handel	Unsorted Orchestral	1749	18
257	Glassworks	Philip Glass	Piano Sonata	1981	18
258	Symphony No. 7 in D Minor, Op. 70, B. 141	Antonín Dvořák	Symphony	1885	18
259	Symphony No. 1 in G Minor	Vasily Kalinnikov	Symphony	1895	18
260	Piano Sonata No. 17 in D Minor (The Tempest), Op. 31 No. 2	Ludwig van Beethoven	Piano Sonata	1802	18
261	A Midsummer Night's Dream Overture, Op. 21	Felix Mendelssohn	Unsorted Orchestral	1826	17
262	Lohengrin, WWV 75	Richard Wagner	Opera	1850	17
263	Piano Trio No. 2 in E-flat Major, D. 929	Franz Schubert	Piano Trio	1827	17
264	String Quartets, Op. 76	Joseph Haydn	String Quartet	1797	17
265	Winterreise, D. 911	Franz Schubert	Lieder / Song	1827	17
266	Songs Without Words (Lieder ohne Worte)	Felix Mendelssohn	Piano Sonata	1845	17
267	Symphony No. 9 in D Minor, WAB 109	Anton Bruckner	Symphony	1896	17
268	Totentanz, S. 126	Franz Liszt	Piano Concerto	1849	17
269	Turandot	Giacomo Puccini	Opera	1924	17
270	Symphony No. 7 in C Major, Op. 105	Jean Sibelius	Symphony	1924	17
271	Jeux d'eau	Maurice Ravel	Piano Sonata	1901	17
272	Études-Tableaux, Op. 33	Sergei Rachmaninoff	Piano Sonata	1911	17
273	Violin Concerto No. 3 in G Major, K. 216	Wolfgang Amadeus Mozart	Violin Concerto	1775	16
274	Trio élégiaque No. 2 in D Minor, Op. 9	Sergei Rachmaninoff	Piano Trio	1893	16
275	String Quartet in G Minor, L. 85	Claude Debussy	String Quartet	1893	16
276	The Creation (Die Schöpfung), Hob. XXI:2	Joseph Haydn	Choral orchestral	1798	16
277	Trumpet Concerto in E-flat Major, Hob.: VIIe/1	Joseph Haydn	Wind Concerto	1796	16
278	Symphony No. 7 in E Major (Lyric), WAB 107	Anton Bruckner	Symphony	1883	16
279	Miroirs	Maurice Ravel	Piano Sonata	1905	16
280	Light Cavalry Overture	Franz von Suppé	Unsorted Orchestral	1866	16
281	Vienna Blood Waltz (Wiener Blut), Op. 354	Johann Strauss II	Unsorted Orchestral	1873	16
282	Nabucco	Giuseppe Verdi	Opera	1841	16
283	Siegfried Idyll, WWV 103	Richard Wagner	Symphonic Poem	1870	16
284	Masquerade Suite	Aram Khachaturian	Unsorted Orchestral	1944	16
285	Symphony No. 4 in B-flat Major, Op. 60	Ludwig van Beethoven	Symphony	1806	16
286	Arpeggione Sonata, D. 821	Franz Schubert	Cello Sonata	1824	15
287	Violin Concerto No. 1 in A Minor, Op. 77	Dmitri Shostakovich	Violin Concerto	1948	15
288	Voices of Spring (Frühlingsstimmen), Op. 410	Johann Strauss II	Unsorted Orchestral	1882	15
289	Spiegel im Spiegel	Arvo Pärt	Violin Sonata	1978	15
290	La valse	Maurice Ravel	Unsorted Orchestral	1920	15
291	Suite española, Op. 47	Isaac Albéniz	Piano Sonata	1886	15
292	Music for 18 Musicians	Steve Reich	Unsorted Orchestral	1976	15
293	Ballade No. 3, Op. 47	Frédéric Chopin	Piano Sonata	1841	15
294	Symphony No. 4 in G Major	Gustav Mahler	Symphony	1900	15
295	A German Requiem, To Words of the Holy Scriptures, Op. 45	Johannes Brahms	Mass / Requiem	1868	14
296	Symphony No. 8 in E-flat Major (Symphony of a Thousand)	Gustav Mahler	Symphony	1906	14
297	Violin Concerto No. 1, Op. 6	Niccolò Paganini	Violin Concerto	1818	14
298	Poet and Peasant Overture	Franz von Suppé	Unsorted Orchestral	1846	14
299	Piano Concerto in G Major	Maurice Ravel	Piano Concerto	1931	14
300	Piano Sonata No. 30 in E Major, Op. 109	Ludwig van Beethoven	Piano Sonata	1820	14
301	Violin Concerto No. 2 in B Minor, Op. 7	Niccolò Paganini	Violin Concerto	1826	14
302	Symphony No. 11 in G Minor (The Year 1905), Op. 103	Dmitri Shostakovich	Symphony	1957	14
303	Piano Sonata No. 11 in A Major, K. 331	Wolfgang Amadeus Mozart	Piano Sonata	1783	14
304	Coriolan Overture, Op. 62	Ludwig van Beethoven	Unsorted Orchestral	1807	14
305	Piano Concerto No. 24 in C Minor, K. 491	Wolfgang Amadeus Mozart	Piano Concerto	1786	13
306	Violin Sonata No. 5 (Spring), Op. 24	Ludwig van Beethoven	Violin Sonata	1801	13
307	Pines of Rome (Pini di Roma)	Ottorino Respighi	Symphonic Poem	1924	13
308	String Quartet No. 13 in B-flat Major, Op. 130	Ludwig van Beethoven	String Quartet	1825	13
309	Piano Concerto No. 2 in G Minor, Op. 22	Camille Saint-Saëns	Piano Concerto	1868	13
310	Symphonie Espagnole in D Minor, Op. 21	Édouard Lalo	Violin Concerto	1874	13
311	Tosca	Giacomo Puccini	Opera	1900	13
312	Stabat Mater, RV 621	Antonio Vivaldi	Choral orchestral	1712	13
313	Six Pianos / Six Marimbas	Steve Reich	Unsorted Chamber	1986	13
314	The Flying Dutchman (Der fliegende Holländer), WWV 63	Richard Wagner	Opera	1843	13
315	Threnody to the Victims of Hiroshima	Krzysztof Penderecki	Unsorted Orchestral	1960	13
316	L'Arlésienne	Georges Bizet	Unsorted Orchestral	1872	13
317	Ballade No. 2, Op. 38	Frédéric Chopin	Piano Sonata	1839	13
318	Cello Concerto No. 2, Op. 126	Dmitri Shostakovich	Cello Concerto	1966	13
319	Turangalîla-Symphonie	Olivier Messiaen	Symphony	1948	13
320	Symphony No. 1 in C Major, Op. 21	Ludwig van Beethoven	Symphony	1800	13
321	Piano Sonata No. 21 in B-flat Major, D. 960	Franz Schubert	Piano Sonata	1828	12
322	Salut d'Amour, Op. 12	Edward Elgar	Violin Sonata	1888	12
323	Symphony No. 1, Op. 68	Johannes Brahms	Symphony	1876	12
324	Death and Transfiguration (Tod und Verklärung), Op. 24	Richard Strauss	Symphonic Poem	1889	12
325	Schwanengesang (Swan Song), D. 957	Franz Schubert	Lieder / Song	1828	12
326	Piano Sonata No. 31 in A-flat Major, Op. 110	Ludwig van Beethoven	Piano Sonata	1821	12
327	Four Last Songs (Vier letzte Lieder), TrV 296	Richard Strauss	Lieder / Song	1948	12
328	Symphonic Dances, Op. 45	Sergei Rachmaninoff	Unsorted Orchestral	1940	12
329	Cello Sonata in G Minor, Op. 19	Sergei Rachmaninoff	Cello Sonata	1901	12
330	Keyboard Sonatas	Domenico Scarlatti	Piano Sonata		12
331	Capriccio Espagnol, Op. 34	Nikolai Rimsky-Korsakov	Unsorted Orchestral	1887	12
332	Consolations, S. 172	Franz Liszt	Piano Sonata	1850	12
333	El Amor Brujo	Manuel de Falla	Ballet	1915	12
334	Piano Concerto No. 1 in C Major, Op. 15	Ludwig van Beethoven	Piano Concerto	1797	12
335	Thaïs	Jules Massenet	Opera	1894	12
336	Capriccio Italien, Op. 45	Pyotr Ilyich Tchaikovsky	Unsorted Orchestral	1880	12
337	Sonata for Two Pianos in D Major, K. 448	Wolfgang Amadeus Mozart	Piano duet / Piano four hands	1781	12
338	Nights in the Gardens of Spain (Noches en los jardines de España)	Manuel de Falla	Piano Concerto	1915	12
339	The Seasons (Les Saisons), Op. 37a	Pyotr Ilyich Tchaikovsky	Piano Sonata	1876	12
340	Symphony No. 7 (Song of the Night)	Gustav Mahler	Symphony	1905	12
341	Prince Igor	Alexander Borodin	Opera	1888	11
342	Violin Sonata in A Major	César Franck	Violin Sonata	1886	11
343	Peter and the Wolf, Op. 67	Sergei Prokofiev	Unsorted Orchestral	1936	11
344	Rigoletto	Giuseppe Verdi	Opera	1851	11
345	Harpsichord conceto No. 1, BWV 1052	Johann Sebastian Bach	Harpsichord conceto	1738	11
346	Scottish Fantasy in E-flat Major, Op. 46	Max Bruch	Violin Concerto	1880	11
347	Agnus Dei	Samuel Barber	Chant	1967	11
348	Piano Concerto No. 2 in G Minor, Op. 16	Sergei Prokofiev	Piano Concerto	1913	11
349	Bachianas Brasileiras	Heitor Villa-Lobos	Voice and Orchestra	1945	11
350	Three Concert Études (Trois études de concert), S. 144	Franz Liszt	Piano Sonata	1849	11
351	Ten Preludes, Op. 23	Sergei Rachmaninoff	Piano Sonata	1903	11
352	Dido and Aeneas, Z. 636	Henry Purcell	Opera	1688	11
353	Piano Sonata No. 26 in E-flat Major (Les Adieux), Op. 81a	Ludwig van Beethoven	Piano Sonata	1810	11
354	Das Lied von der Erde (The Song of the Earth)	Gustav Mahler	Lieder / Song	1909	11
355	Variations and Fugue in E-flat Major (Eroica Variations), Op. 35	Ludwig van Beethoven	Piano Sonata	1802	11
356	Ma mère l'Oye	Maurice Ravel	Unsorted Orchestral	1911	11
357	Gretchen am Spinnrade, D. 118	Franz Schubert	Lieder / Song	1814	11
358	Piano Sonata No. 27 in E Minor, Op. 90	Ludwig van Beethoven	Piano Sonata	1814	11
359	Samson and Delilah, Op. 47	Camille Saint-Saëns	Opera	1877	11
360	Rondo in A Minor, K. 511	Wolfgang Amadeus Mozart	Piano Sonata	1787	11
361	Symphony No. 1 in E Major, Op. 26	Alexander Scriabin	Symphony	1900	11
362	Piano Concerto No. 1 in D Minor, Op. 15	Johannes Brahms	Piano Concerto	1858	10
363	Music for Strings, Percussion and Celesta, Sz. 106	Béla Bartók	Unsorted Orchestral	1936	10
364	Clarinet Quintet in A Major, K. 581	Wolfgang Amadeus Mozart	Clarinet Quintet	1789	10
365	Piano Trio in B-flat Major (Archduke Trio), Op. 97	Ludwig van Beethoven	Piano Trio	1811	10
366	Ordo Virtutum	Hildegard of Bingen	Chant		10
367	Deo Gratias	Johannes Ockeghem	Chant		10
368	Tales from the Vienna Woods (Geschichten aus dem Wienerwald), Op. 325	Johann Strauss II	Unsorted Orchestral	1868	10
369	Polonaises, Op. 40	Frédéric Chopin	Piano Sonata	1838	10
370	Cello Sonatas, RV 39-47	Antonio Vivaldi	Unsorted Chamber	1730	10
371	Piano Concerto No. 25 in C Major, K. 503	Wolfgang Amadeus Mozart	Piano Concerto	1786	10
372	Tragic Overture, Op. 81	Johannes Brahms	Unsorted Orchestral	1880	10
373	Piano Sonata No. 28 in A Major, Op. 101	Ludwig van Beethoven	Piano Sonata	1816	10
374	Concerto for Flute, Harp, and Orchestra in C Major, K. 299/297c	Wolfgang Amadeus Mozart	Double Concerto	1778	10
375	Andante spianato et grande polonaise brillante in E-flat Major, Op. 22	Frédéric Chopin	Piano Sonata	1834	10
376	Les préludes, S. 97	Franz Liszt	Symphonic Poem	1854	10
377	A Midsummer Night's Dream, Op. 61	Felix Mendelssohn	Unsorted Orchestral	1842	10
378	The Young Person's Guide to the Orchestra	Benjamin Britten	Unsorted Orchestral	1945	10
379	Toccata and Fugue in D Minor (Dorian), BWV 538	Johann Sebastian Bach	Organ		10
380	Symphony No. 4 in D Minor, Op. 120	Robert Schumann	Symphony	1841	10
381	Le tombeau de Couperin	Maurice Ravel	Piano Sonata	1917	10
382	Cello Concerto No. 1 in A Minor, Op. 33	Camille Saint-Saëns	Cello Concerto	1872	10
383	Symphony No. 2 in D Major, Op. 36	Ludwig van Beethoven	Symphony	1802	10
384	Flute Concerto, RV 439	Antonio Vivaldi	Wind Concerto	1728	10
385	Piano Sonata No. 4 in F-sharp Major, Op. 30	Alexander Scriabin	Piano Sonata	1903	10
386	Rienzi, WWV 49	Richard Wagner	Opera	1840	10
387	Piano Concerto No. 1 in F-sharp Minor, Op. 1	Sergei Rachmaninoff	Piano Concerto	1892	10
388	Symphony No. 1 in G Minor (Winter Daydreams), Op. 13	Pyotr Ilyich Tchaikovsky	Symphony	1866	10
389	Piano Concerto in F-sharp Minor, Op. 20	Alexander Scriabin	Piano Concerto	1896	10
390	Fantasia for piano four-hands in F Minor, 940 (Op. posth. 103)	Franz Schubert	Piano duet / Piano four hands	1828	9
391	The Hebrides Overture (Fingal's Cave), Op. 26	Felix Mendelssohn	Unsorted Orchestral	1830	9
392	Violin Concerto No. 1 in D Major, Op. 19	Sergei Prokofiev	Violin Concerto	1917	9
393	String Quartet No. 13 in A Minor (Rosamunde Quartet), D. 804	Franz Schubert	String Quartet	1824	9
394	Recuerdos de la Alhambra	Francisco Tárrega	String solo	1896	9
395	Atmosphères	György Ligeti	Unsorted Orchestral	1961	9
396	Octet in E-flat Major, Op. 20	Felix Mendelssohn	Octet	1825	9
397	Tabula Rasa	Arvo Pärt	Unsorted Orchestral	1977	9
398	Vespro della Beata Vergine, SV 206	Claudio Monteverdi	Choral orchestral		9
399	Holberg Suite (From Holberg's Time), Op. 40	Edvard Grieg	Unsorted Orchestral	1884	9
400	Great Fantasia and Fugue in G Minor, BWV 542	Johann Sebastian Bach	Organ		9
401	Sicilienne, Op. 78	Gabriel Fauré	Cello Sonata	1893	9
402	18 Nocturnes	John Field	Piano Sonata	1837	9
403	Triple Concerto in C Major, Op. 56	Ludwig van Beethoven	Triple Concerto	1803	9
404	Fantasie in C major (Wanderer Fantasy), D. 760	Franz Schubert	Piano Sonata	1822	9
405	St John Passion (Passio secundum Johannem), BWV 245	Johann Sebastian Bach	Choral orchestral	1724	9
406	Études, L. 136	Claude Debussy	Piano Sonata	1915	9
407	First Suite in E-flat for Military Band, Op. 28 No. 1	Gustav Holst	Unsorted Orchestral	1909	9
408	Academic Festival Overture (Akademische Festouvertüre), Op. 80	Johannes Brahms	Unsorted Orchestral	1880	9
409	Great Mass in C Minor, K. 427/417a	Wolfgang Amadeus Mozart	Mass / Requiem	1783	9
410	Rückert-Lieder	Gustav Mahler	Lieder / Song	1902	9
411	Symphony-Concerto in E Minor, Op. 125	Sergei Prokofiev	Cello Concerto	1952	9
412	Kindertotenlieder (Songs on the Death of Children)	Gustav Mahler	Lieder / Song	1904	9
413	3 Intermezzi, Op. 117	Johannes Brahms	Piano Sonata	1892	9
414	Tzigane	Maurice Ravel	Violin Concerto	1924	9
415	Piano Sonata No. 2 in G-sharp Minor (Sonata-Fantasy), Op. 19	Alexander Scriabin	Piano Sonata	1898	9
416	Rodeo	Aaron Copland	Ballet	1942	9
417	12 Etudes, Op. 8	Alexander Scriabin	Piano Sonata	1894	9
418	Koyaanisqatsi	Philip Glass	Unsorted Orchestral	1982	9
419	Lyric Pieces	Edvard Grieg	Piano Sonata	1901	9
420	Violin Concerto	Alban Berg	Violin Concerto	1935	8
421	Te Deum in D Major, H. 146	Marc-Antoine Charpentier	Choral orchestral	1689	8
422	Violin Concerto, Op. 14	Samuel Barber	Violin Concerto	1939	8
