rank	title	composer	category	year	stars
2264	Violin Sonata in D Major, D. 384	Franz Schubert	Violin Sonata	1816	0
2265	Symphony No. 14, Op. 135	Dmitri Shostakovich	Symphony	1969	0
2266	4 Tone Poems after Arnold Böcklin, Op. 128	Max Reger	Symphonic Poem	1913	0
2267	6 Songs after Poems by Maeterlinck, Op. 13	Alexander von Zemlinsky	Lieder / Song	1910	0
2268	Trio for Flute, Cello and Piano (Adagio, Variations and Rondo on a Russian Theme), Op. 78	Johann Nepomuk Hummel	Piano Trio	1818	0
2269	In the Mists	Leoš Janáček	Piano Sonata	1912	0
2270	Dover Beach, Op. 3	Samuel Barber	Lieder / Song	1931	0
2271	Sequenza VIII	Luciano Berio	String solo	1977	0
2272	6 Lieder, Op. 86	Johannes Brahms	Lieder / Song	1882	0
2273	A Symphony of Three Orchestras	Elliott Carter	Unsorted Orchestral	1976	0
2274	Dies Natalis, Op. 8	Gerald Finzi	Choral orchestral	1939	0
2275	Háry János	Zoltán Kodály	Unsorted Orchestral	1926	0
2276	Chantefleurs et Chantefables	Witold Lutosławski	Voice and Orchestra	1990	0
2277	Livre pour Orchestre	Witold Lutosławski	Unsorted Orchestral	1968	0
2278	Contrappunto dialettico alla mente	Luigi Nono	Voice and Orchestra	1968	0
2279	Fragmente-Stille, an Diotima	Luigi Nono	String Quartet	1979	0
2280	Quatre motets pour le temps de Noël, FP 152	Francis Poulenc	Chant	1952	0
2281	Magnificat	Arvo Pärt	Chant	1989	0
2282	St Luke Passion	Krzysztof Penderecki	Choral orchestral	1966	0
2283	Emanations	Krzysztof Penderecki	Unsorted Orchestral	1958	0
2284	Violin Concerto No. 2 (Metamorphosen)	Krzysztof Penderecki	Violin Concerto	1995	0
2285	Quattro Pezzi Su Una Nota Sola	Giacinto Scelsi	Unsorted Orchestral	1959	0
2286	Hurqualia	Giacinto Scelsi	Unsorted Orchestral		0
2287	Il Tramonto (The Sunset)	Ottorino Respighi	Voice and Orchestra	1914	0
2288	Kammermusik, Op. 36, 46	Paul Hindemith	Unsorted Orchestral	1927	0
2289	Risveglio di una Città	Luigi Russolo	Unsorted Orchestral	1913	0
2290	Symphony No. 2 in D Major	Otto Nicolai	Symphony	1835	0
2291	Requiem, Op. 63	Charles Villiers Stanford	Mass / Requiem	1896	0
2292	La Passion de Simone	Kaija Saariaho	Choral orchestral	2006	0
2293	Magnificat	Loyset Compère	Chant		0
2294	Symphony No. 2 (Characteristic)	Ignacy Feliks Dobrzyński	Symphony	1834	0
2295	The Tender Land	Aaron Copland	Opera	1954	0
2296	Trionfo di Afrodite	Carl Orff	Voice and Orchestra	1951	0
2297	Sadko	Nikolai Rimsky-Korsakov	Opera	1896	0
2298	Arcana	Edgard Varèse	Unsorted Orchestral	1927	0
2299	Concerto in E-flat (Dumbarton Oaks)	Igor Stravinsky	Unsorted Orchestral	1938	0
2300	Prometeo	Luigi Nono	Opera	1984	0
2301	Vanessa, Op. 32	Samuel Barber	Opera	1957	0
2302	Rondos on Slovak Folk Tunes, Sz. 84	Béla Bartók	Piano Sonata	1927	0
2303	Apparition	George Crumb	Lieder / Song	1979	0
2304	In the South (Alassio), Op. 50	Edward Elgar	Unsorted Orchestral	1904	0
2305	Piano Sonata No. 1 in F-sharp Minor, Op. 24 No. 1	George Enescu	Piano Sonata		0
2306	String Quartet No. 2 in G Minor, H. 115	Frank Bridge	String Quartet	1915	0
2307	Oration, H. 180	Frank Bridge	Cello Concerto	1930	0
2308	Savitri, Op. 25	Gustav Holst	Opera	1916	0
2309	String Quartet No. 3 in E-flat Minor, Op. 30	Pyotr Ilyich Tchaikovsky	String Quartet	1876	0
2310	Symphony No. 3 in E-flat Major (First of May), Op. 20	Dmitri Shostakovich	Symphony	1930	0
2311	6 Lieder (Brentano Lieder), Op. 68	Richard Strauss	Lieder / Song	1918	0
2312	Violin Concerto No. 2, Op. 61	Karol Szymanowski	Violin Concerto	1933	0
2313	Piano Trio No. 6 in E-flat Major, Op. 93	Johann Nepomuk Hummel	Piano Trio		0
2314	Piano Trio No. 7 in E-flat Major, Op. 96	Johann Nepomuk Hummel	Piano Trio		0
2315	Symphony No. 9 in E Minor	Ralph Vaughan Williams	Symphony	1957	0
2316	Peer Gynt	Alfred Schnittke	Ballet	1986	0
2317	String Trio	Alfred Schnittke	String Trio	1992	0
2318	Rinaldo, Op. 50	Johannes Brahms	Voice and Orchestra	1868	0
2319	Le Jardin Clos, Op. 106	Gabriel Fauré	Lieder / Song	1914	0
2320	4 Songs (Quatre Mélodies), Op. 39	Gabriel Fauré	Lieder / Song	1884	0
2321	Akvareller, Op. 19	Niels Gade	Piano Sonata	1850	0
2322	Les Danaïdes	Antonio Salieri	Opera	1784	0
2323	String Quartet No. 5	Philip Glass	String Quartet	1991	0
